Eval:::Epoch [50/500], Loss: 0.0001, Dev Accuracy: 0.9388, Dev F1 Score: 0.9346
Eval:::Epoch [100/500], Loss: 0.0003, Dev Accuracy: 0.9475, Dev F1 Score: 0.9441
Eval:::Epoch [150/500], Loss: 0.0002, Dev Accuracy: 0.9475, Dev F1 Score: 0.9430
Eval:::Epoch [200/500], Loss: 0.0001, Dev Accuracy: 0.9417, Dev F1 Score: 0.9363
Eval:::Epoch [250/500], Loss: 0.0001, Dev Accuracy: 0.9329, Dev F1 Score: 0.9279
Eval:::Epoch [300/500], Loss: 0.0001, Dev Accuracy: 0.9359, Dev F1 Score: 0.9290
Eval:::Epoch [350/500], Loss: 0.0000, Dev Accuracy: 0.9359, Dev F1 Score: 0.9295
Eval:::Epoch [400/500], Loss: 0.0000, Dev Accuracy: 0.9359, Dev F1 Score: 0.9295
Eval:::Epoch [450/500], Loss: 0.0000, Dev Accuracy: 0.9300, Dev F1 Score: 0.9245
Eval:::Epoch [500/500], Loss: 0.0001, Dev Accuracy: 0.9359, Dev F1 Score: 0.9295
Test:::Loss: 1.1355, Test Accuracy: 0.9359, Test F1 Score: 0.9214
Eval:::Epoch [1/500], Loss: 0.0001, Dev Accuracy: 0.9359, Dev F1 Score: 0.9295
Eval:::Epoch [2/500], Loss: 0.0001, Dev Accuracy: 0.9359, Dev F1 Score: 0.9295
Eval:::Epoch [3/500], Loss: 0.0001, Dev Accuracy: 0.9359, Dev F1 Score: 0.9295
Eval:::Epoch [4/500], Loss: 0.0009, Dev Accuracy: 0.9388, Dev F1 Score: 0.9320
Eval:::Epoch [5/500], Loss: 0.0006, Dev Accuracy: 0.9417, Dev F1 Score: 0.9355
Eval:::Epoch [6/500], Loss: 0.0006, Dev Accuracy: 0.9417, Dev F1 Score: 0.9355
Eval:::Epoch [7/500], Loss: 0.0006, Dev Accuracy: 0.9417, Dev F1 Score: 0.9355
Eval:::Epoch [8/500], Loss: 0.0006, Dev Accuracy: 0.9417, Dev F1 Score: 0.9355
Eval:::Epoch [9/500], Loss: 0.0003, Dev Accuracy: 0.9417, Dev F1 Score: 0.9355
Eval:::Epoch [10/500], Loss: 0.0002, Dev Accuracy: 0.9417, Dev F1 Score: 0.9355
Eval:::Epoch [11/500], Loss: 0.0002, Dev Accuracy: 0.9417, Dev F1 Score: 0.9355
Eval:::Epoch [12/500], Loss: 0.0001, Dev Accuracy: 0.9417, Dev F1 Score: 0.9355
Eval:::Epoch [13/500], Loss: 0.0001, Dev Accuracy: 0.9388, Dev F1 Score: 0.9325
Eval:::Epoch [14/500], Loss: 0.0000, Dev Accuracy: 0.9446, Dev F1 Score: 0.9393
Eval:::Epoch [15/500], Loss: 0.0000, Dev Accuracy: 0.9446, Dev F1 Score: 0.9393
Eval:::Epoch [16/500], Loss: 0.0000, Dev Accuracy: 0.9446, Dev F1 Score: 0.9393
Eval:::Epoch [17/500], Loss: 0.0000, Dev Accuracy: 0.9446, Dev F1 Score: 0.9393
Eval:::Epoch [18/500], Loss: 0.0000, Dev Accuracy: 0.9446, Dev F1 Score: 0.9393
Eval:::Epoch [19/500], Loss: 0.0000, Dev Accuracy: 0.9446, Dev F1 Score: 0.9393
Eval:::Epoch [20/500], Loss: 0.0000, Dev Accuracy: 0.9417, Dev F1 Score: 0.9363
Eval:::Epoch [21/500], Loss: 0.0000, Dev Accuracy: 0.9417, Dev F1 Score: 0.9363
Eval:::Epoch [22/500], Loss: 0.0000, Dev Accuracy: 0.9417, Dev F1 Score: 0.9363
Eval:::Epoch [23/500], Loss: 0.0001, Dev Accuracy: 0.9417, Dev F1 Score: 0.9363
Eval:::Epoch [24/500], Loss: 0.0001, Dev Accuracy: 0.9417, Dev F1 Score: 0.9363
Eval:::Epoch [25/500], Loss: 0.0001, Dev Accuracy: 0.9417, Dev F1 Score: 0.9363
Eval:::Epoch [26/500], Loss: 0.0001, Dev Accuracy: 0.9417, Dev F1 Score: 0.9363
Eval:::Epoch [27/500], Loss: 0.0001, Dev Accuracy: 0.9417, Dev F1 Score: 0.9363
Eval:::Epoch [28/500], Loss: 0.0001, Dev Accuracy: 0.9417, Dev F1 Score: 0.9363
