Test:::Loss: 0.2330, Dev Accuracy: 0.9329, Dev F1 Score: 0.9176
Eval:::Epoch [1/500], Loss: 0.6662, Dev Accuracy: 0.8397, Dev F1 Score: 0.8265
Eval:::Epoch [2/500], Loss: 0.6389, Dev Accuracy: 0.8601, Dev F1 Score: 0.8345
Eval:::Epoch [3/500], Loss: 0.6129, Dev Accuracy: 0.8513, Dev F1 Score: 0.8211
Eval:::Epoch [4/500], Loss: 0.5904, Dev Accuracy: 0.8513, Dev F1 Score: 0.8198
Eval:::Epoch [5/500], Loss: 0.5684, Dev Accuracy: 0.8571, Dev F1 Score: 0.8281
Eval:::Epoch [6/500], Loss: 0.5490, Dev Accuracy: 0.8542, Dev F1 Score: 0.8239
Eval:::Epoch [7/500], Loss: 0.5313, Dev Accuracy: 0.8571, Dev F1 Score: 0.8281
Eval:::Epoch [8/500], Loss: 0.5130, Dev Accuracy: 0.8659, Dev F1 Score: 0.8403
Eval:::Epoch [9/500], Loss: 0.4962, Dev Accuracy: 0.8688, Dev F1 Score: 0.8443
Eval:::Epoch [10/500], Loss: 0.4808, Dev Accuracy: 0.8717, Dev F1 Score: 0.8493
Eval:::Epoch [11/500], Loss: 0.4668, Dev Accuracy: 0.8746, Dev F1 Score: 0.8522
Eval:::Epoch [12/500], Loss: 0.4528, Dev Accuracy: 0.8776, Dev F1 Score: 0.8571
Eval:::Epoch [13/500], Loss: 0.4402, Dev Accuracy: 0.8776, Dev F1 Score: 0.8571
Eval:::Epoch [14/500], Loss: 0.4276, Dev Accuracy: 0.8776, Dev F1 Score: 0.8571
Eval:::Epoch [15/500], Loss: 0.4167, Dev Accuracy: 0.8776, Dev F1 Score: 0.8571
Eval:::Epoch [16/500], Loss: 0.4062, Dev Accuracy: 0.8776, Dev F1 Score: 0.8571
Eval:::Epoch [17/500], Loss: 0.3958, Dev Accuracy: 0.8863, Dev F1 Score: 0.8687
Eval:::Epoch [18/500], Loss: 0.3865, Dev Accuracy: 0.8892, Dev F1 Score: 0.8725
Eval:::Epoch [19/500], Loss: 0.3776, Dev Accuracy: 0.8892, Dev F1 Score: 0.8725
Eval:::Epoch [20/500], Loss: 0.3685, Dev Accuracy: 0.8921, Dev F1 Score: 0.8763
Eval:::Epoch [21/500], Loss: 0.3608, Dev Accuracy: 0.8921, Dev F1 Score: 0.8763
Eval:::Epoch [22/500], Loss: 0.3528, Dev Accuracy: 0.8921, Dev F1 Score: 0.8763
Eval:::Epoch [23/500], Loss: 0.3452, Dev Accuracy: 0.8921, Dev F1 Score: 0.8763
Eval:::Epoch [24/500], Loss: 0.3384, Dev Accuracy: 0.8921, Dev F1 Score: 0.8763
Eval:::Epoch [25/500], Loss: 0.3316, Dev Accuracy: 0.8921, Dev F1 Score: 0.8763
Eval:::Epoch [26/500], Loss: 0.3253, Dev Accuracy: 0.8921, Dev F1 Score: 0.8763
Eval:::Epoch [27/500], Loss: 0.3190, Dev Accuracy: 0.8921, Dev F1 Score: 0.8763
Eval:::Epoch [28/500], Loss: 0.3131, Dev Accuracy: 0.8921, Dev F1 Score: 0.8763
Eval:::Epoch [29/500], Loss: 0.3075, Dev Accuracy: 0.8921, Dev F1 Score: 0.8763
Eval:::Epoch [30/500], Loss: 0.3018, Dev Accuracy: 0.8921, Dev F1 Score: 0.8763
Eval:::Epoch [31/500], Loss: 0.2966, Dev Accuracy: 0.8921, Dev F1 Score: 0.8763
Eval:::Epoch [32/500], Loss: 0.2918, Dev Accuracy: 0.8921, Dev F1 Score: 0.8763
Eval:::Epoch [33/500], Loss: 0.2869, Dev Accuracy: 0.8980, Dev F1 Score: 0.8837
Eval:::Epoch [34/500], Loss: 0.2825, Dev Accuracy: 0.8950, Dev F1 Score: 0.8800
Eval:::Epoch [35/500], Loss: 0.2779, Dev Accuracy: 0.8980, Dev F1 Score: 0.8837
Eval:::Epoch [36/500], Loss: 0.2736, Dev Accuracy: 0.8980, Dev F1 Score: 0.8837
Eval:::Epoch [37/500], Loss: 0.2696, Dev Accuracy: 0.8980, Dev F1 Score: 0.8837
Eval:::Epoch [38/500], Loss: 0.2657, Dev Accuracy: 0.8980, Dev F1 Score: 0.8837
Eval:::Epoch [39/500], Loss: 0.2618, Dev Accuracy: 0.9009, Dev F1 Score: 0.8874
Eval:::Epoch [40/500], Loss: 0.2582, Dev Accuracy: 0.9009, Dev F1 Score: 0.8874
Eval:::Epoch [41/500], Loss: 0.2551, Dev Accuracy: 0.8980, Dev F1 Score: 0.8845
Eval:::Epoch [42/500], Loss: 0.2521, Dev Accuracy: 0.8980, Dev F1 Score: 0.8845
Eval:::Epoch [43/500], Loss: 0.2488, Dev Accuracy: 0.9009, Dev F1 Score: 0.8882
Eval:::Epoch [44/500], Loss: 0.2455, Dev Accuracy: 0.9038, Dev F1 Score: 0.8911
