
Eval:::Epoch [2/100], Loss: 1.7901, Dev Accuracy: 0.9186, Dev F1 Score: 0.9176
Eval:::Epoch [4/100], Loss: 4.1181, Dev Accuracy: 0.9012, Dev F1 Score: 0.9006
Eval:::Epoch [6/100], Loss: 4.0618, Dev Accuracy: 0.8895, Dev F1 Score: 0.8889
Eval:::Epoch [8/100], Loss: 3.2770, Dev Accuracy: 0.8779, Dev F1 Score: 0.8757
Eval:::Epoch [10/100], Loss: 6.5448, Dev Accuracy: 0.8837, Dev F1 Score: 0.8795
Eval:::Epoch [12/100], Loss: 7.0336, Dev Accuracy: 0.8837, Dev F1 Score: 0.8795
Eval:::Epoch [14/100], Loss: 7.4204, Dev Accuracy: 0.8837, Dev F1 Score: 0.8795
Eval:::Epoch [16/100], Loss: 7.7500, Dev Accuracy: 0.8837, Dev F1 Score: 0.8795
Eval:::Epoch [18/100], Loss: 8.0430, Dev Accuracy: 0.8837, Dev F1 Score: 0.8795
Eval:::Epoch [20/100], Loss: 8.3109, Dev Accuracy: 0.8837, Dev F1 Score: 0.8795
Eval:::Epoch [22/100], Loss: 8.5606, Dev Accuracy: 0.8837, Dev F1 Score: 0.8795
Eval:::Epoch [24/100], Loss: 8.7967, Dev Accuracy: 0.8837, Dev F1 Score: 0.8795
Eval:::Epoch [26/100], Loss: 9.0223, Dev Accuracy: 0.8837, Dev F1 Score: 0.8795
Eval:::Epoch [28/100], Loss: 9.2396, Dev Accuracy: 0.8837, Dev F1 Score: 0.8795
Eval:::Epoch [30/100], Loss: 9.4505, Dev Accuracy: 0.8837, Dev F1 Score: 0.8795
Eval:::Epoch [32/100], Loss: 9.6561, Dev Accuracy: 0.8837, Dev F1 Score: 0.8795
Eval:::Epoch [34/100], Loss: 9.8575, Dev Accuracy: 0.8837, Dev F1 Score: 0.8795
Eval:::Epoch [36/100], Loss: 10.0554, Dev Accuracy: 0.8837, Dev F1 Score: 0.8795
Eval:::Epoch [38/100], Loss: 10.2503, Dev Accuracy: 0.8837, Dev F1 Score: 0.8795
Eval:::Epoch [40/100], Loss: 10.4430, Dev Accuracy: 0.8837, Dev F1 Score: 0.8795
Eval:::Epoch [42/100], Loss: 10.6334, Dev Accuracy: 0.8837, Dev F1 Score: 0.8795
Eval:::Epoch [44/100], Loss: 10.8220, Dev Accuracy: 0.8837, Dev F1 Score: 0.8795
Eval:::Epoch [46/100], Loss: 11.0094, Dev Accuracy: 0.8837, Dev F1 Score: 0.8795
Eval:::Epoch [48/100], Loss: 11.1956, Dev Accuracy: 0.8837, Dev F1 Score: 0.8795
Eval:::Epoch [50/100], Loss: 11.3804, Dev Accuracy: 0.8837, Dev F1 Score: 0.8795
Eval:::Epoch [52/100], Loss: 11.5646, Dev Accuracy: 0.8837, Dev F1 Score: 0.8795
Eval:::Epoch [54/100], Loss: 11.7484, Dev Accuracy: 0.8837, Dev F1 Score: 0.8795
Eval:::Epoch [56/100], Loss: 11.9313, Dev Accuracy: 0.8837, Dev F1 Score: 0.8795
Eval:::Epoch [58/100], Loss: 12.1130, Dev Accuracy: 0.8837, Dev F1 Score: 0.8795
Eval:::Epoch [60/100], Loss: 12.2959, Dev Accuracy: 0.8837, Dev F1 Score: 0.8795
Eval:::Epoch [62/100], Loss: 12.4759, Dev Accuracy: 0.8837, Dev F1 Score: 0.8795
Eval:::Epoch [64/100], Loss: 12.6560, Dev Accuracy: 0.8837, Dev F1 Score: 0.8795
Eval:::Epoch [2/10], Loss: 0.0129, Dev Accuracy: 0.9012, Dev F1 Score: 0.8889
Eval:::Epoch [2/10], Loss: 0.0129, Dev Accuracy: 0.9012, Dev F1 Score: 0.8889
Eval:::Epoch [4/10], Loss: 0.0024, Dev Accuracy: 0.9360, Dev F1 Score: 0.9299
Eval:::Epoch [6/10], Loss: 0.0006, Dev Accuracy: 0.9070, Dev F1 Score: 0.8947
Eval:::Epoch [8/10], Loss: 0.0007, Dev Accuracy: 0.9302, Dev F1 Score: 0.9241
Eval:::Epoch [10/10], Loss: 0.0011, Dev Accuracy: 0.9012, Dev F1 Score: 0.8889
Test:::Loss: 0.0069, Test Accuracy: 0.9826, Test F1 Score: 0.9825
Eval:::Epoch [2/40], Loss: 0.0129, Dev Accuracy: 0.9012, Dev F1 Score: 0.8889
Eval:::Epoch [4/40], Loss: 0.0024, Dev Accuracy: 0.9360, Dev F1 Score: 0.9299
Eval:::Epoch [6/40], Loss: 0.0006, Dev Accuracy: 0.9070, Dev F1 Score: 0.8947
Eval:::Epoch [8/40], Loss: 0.0007, Dev Accuracy: 0.9302, Dev F1 Score: 0.9241
Eval:::Epoch [10/40], Loss: 0.0011, Dev Accuracy: 0.9012, Dev F1 Score: 0.8889
Eval:::Epoch [12/40], Loss: 0.0028, Dev Accuracy: 0.8953, Dev F1 Score: 0.8816
Eval:::Epoch [14/40], Loss: 0.0004, Dev Accuracy: 0.9128, Dev F1 Score: 0.9045
Eval:::Epoch [16/40], Loss: 0.0002, Dev Accuracy: 0.9244, Dev F1 Score: 0.9172
Eval:::Epoch [18/40], Loss: 0.0000, Dev Accuracy: 0.9128, Dev F1 Score: 0.9032
Eval:::Epoch [20/40], Loss: 0.0112, Dev Accuracy: 0.9419, Dev F1 Score: 0.9390
Eval:::Epoch [22/40], Loss: 0.0001, Dev Accuracy: 0.9302, Dev F1 Score: 0.9241
Eval:::Epoch [24/40], Loss: 0.0000, Dev Accuracy: 0.9360, Dev F1 Score: 0.9308
Eval:::Epoch [26/40], Loss: 0.0000, Dev Accuracy: 0.9244, Dev F1 Score: 0.9172
Eval:::Epoch [28/40], Loss: 0.0255, Dev Accuracy: 0.9302, Dev F1 Score: 0.9250
Eval:::Epoch [30/40], Loss: 0.0000, Dev Accuracy: 0.9244, Dev F1 Score: 0.9182
Eval:::Epoch [32/40], Loss: 0.0005, Dev Accuracy: 0.9360, Dev F1 Score: 0.9325
Eval:::Epoch [34/40], Loss: 0.0000, Dev Accuracy: 0.9302, Dev F1 Score: 0.9250
Eval:::Epoch [36/40], Loss: 0.0000, Dev Accuracy: 0.9360, Dev F1 Score: 0.9317
Eval:::Epoch [38/40], Loss: 0.0000, Dev Accuracy: 0.9360, Dev F1 Score: 0.9317
Eval:::Epoch [40/40], Loss: 0.0000, Dev Accuracy: 0.9360, Dev F1 Score: 0.9317
Test:::Loss: 0.0736, Test Accuracy: 0.9826, Test F1 Score: 0.9825
