Eval:::Epoch [10/500], Loss: 0.1367, Dev Accuracy: 0.9155, Dev F1 Score: 0.9134
Eval:::Epoch [20/500], Loss: 0.0196, Dev Accuracy: 0.9359, Dev F1 Score: 0.9290
Eval:::Epoch [30/500], Loss: 0.0079, Dev Accuracy: 0.9271, Dev F1 Score: 0.9191
Eval:::Epoch [40/500], Loss: 0.0026, Dev Accuracy: 0.9388, Dev F1 Score: 0.9342
Eval:::Epoch [50/500], Loss: 0.0020, Dev Accuracy: 0.9184, Dev F1 Score: 0.9157
Eval:::Epoch [60/500], Loss: 0.0010, Dev Accuracy: 0.9417, Dev F1 Score: 0.9379
Eval:::Epoch [70/500], Loss: 0.0020, Dev Accuracy: 0.9329, Dev F1 Score: 0.9288
Eval:::Epoch [80/500], Loss: 0.0007, Dev Accuracy: 0.9359, Dev F1 Score: 0.9313
Eval:::Epoch [90/500], Loss: 0.0039, Dev Accuracy: 0.9300, Dev F1 Score: 0.9221
Eval:::Epoch [100/500], Loss: 0.0015, Dev Accuracy: 0.9300, Dev F1 Score: 0.9226
Eval:::Epoch [110/500], Loss: 0.0080, Dev Accuracy: 0.9329, Dev F1 Score: 0.9292
Eval:::Epoch [120/500], Loss: 0.0003, Dev Accuracy: 0.9475, Dev F1 Score: 0.9427
Eval:::Epoch [130/500], Loss: 0.0026, Dev Accuracy: 0.9300, Dev F1 Score: 0.9216
Eval:::Epoch [140/500], Loss: 0.0001, Dev Accuracy: 0.9504, Dev F1 Score: 0.9460
Eval:::Epoch [150/500], Loss: 0.0018, Dev Accuracy: 0.9359, Dev F1 Score: 0.9313
Eval:::Epoch [160/500], Loss: 0.0003, Dev Accuracy: 0.9329, Dev F1 Score: 0.9279
Eval:::Epoch [170/500], Loss: 0.0004, Dev Accuracy: 0.9271, Dev F1 Score: 0.9191
Eval:::Epoch [180/500], Loss: 0.0001, Dev Accuracy: 0.9300, Dev F1 Score: 0.9241
Eval:::Epoch [190/500], Loss: 0.0005, Dev Accuracy: 0.9329, Dev F1 Score: 0.9260
Eval:::Epoch [200/500], Loss: 0.0008, Dev Accuracy: 0.9359, Dev F1 Score: 0.9295
Eval:::Epoch [210/500], Loss: 0.0003, Dev Accuracy: 0.9242, Dev F1 Score: 0.9177
Eval:::Epoch [220/500], Loss: 0.0317, Dev Accuracy: 0.9242, Dev F1 Score: 0.9156
Eval:::Epoch [230/500], Loss: 0.0005, Dev Accuracy: 0.9417, Dev F1 Score: 0.9387
Eval:::Epoch [240/500], Loss: 0.0012, Dev Accuracy: 0.9359, Dev F1 Score: 0.9295
Eval:::Epoch [250/500], Loss: 0.0002, Dev Accuracy: 0.9329, Dev F1 Score: 0.9260
Eval:::Epoch [260/500], Loss: 0.0001, Dev Accuracy: 0.9359, Dev F1 Score: 0.9304
Eval:::Epoch [270/500], Loss: 0.0007, Dev Accuracy: 0.9242, Dev F1 Score: 0.9156
Eval:::Epoch [280/500], Loss: 0.0000, Dev Accuracy: 0.9329, Dev F1 Score: 0.9270
Eval:::Epoch [290/500], Loss: 0.0001, Dev Accuracy: 0.9329, Dev F1 Score: 0.9270
Eval:::Epoch [300/500], Loss: 0.0001, Dev Accuracy: 0.9359, Dev F1 Score: 0.9313
Eval:::Epoch [310/500], Loss: 0.0003, Dev Accuracy: 0.9359, Dev F1 Score: 0.9299
Eval:::Epoch [320/500], Loss: 0.0000, Dev Accuracy: 0.9329, Dev F1 Score: 0.9279
Eval:::Epoch [330/500], Loss: 0.0005, Dev Accuracy: 0.9329, Dev F1 Score: 0.9251
Eval:::Epoch [340/500], Loss: 0.0001, Dev Accuracy: 0.9359, Dev F1 Score: 0.9295
Eval:::Epoch [350/500], Loss: 0.0000, Dev Accuracy: 0.9417, Dev F1 Score: 0.9371
Eval:::Epoch [360/500], Loss: 0.0001, Dev Accuracy: 0.9329, Dev F1 Score: 0.9260
Eval:::Epoch [370/500], Loss: 0.0000, Dev Accuracy: 0.9359, Dev F1 Score: 0.9304
Eval:::Epoch [380/500], Loss: 0.0000, Dev Accuracy: 0.9329, Dev F1 Score: 0.9265
Eval:::Epoch [390/500], Loss: 0.0003, Dev Accuracy: 0.9329, Dev F1 Score: 0.9256
Eval:::Epoch [400/500], Loss: 0.0002, Dev Accuracy: 0.9446, Dev F1 Score: 0.9408
Eval:::Epoch [410/500], Loss: 0.0016, Dev Accuracy: 0.9359, Dev F1 Score: 0.9299
Eval:::Epoch [420/500], Loss: 0.0003, Dev Accuracy: 0.9359, Dev F1 Score: 0.9304
Eval:::Epoch [430/500], Loss: 0.0001, Dev Accuracy: 0.9329, Dev F1 Score: 0.9283
Eval:::Epoch [440/500], Loss: 0.0013, Dev Accuracy: 0.9300, Dev F1 Score: 0.9226
Eval:::Epoch [450/500], Loss: 0.0016, Dev Accuracy: 0.9242, Dev F1 Score: 0.9161
Eval:::Epoch [460/500], Loss: 0.0001, Dev Accuracy: 0.9359, Dev F1 Score: 0.9317
Eval:::Epoch [470/500], Loss: 0.0000, Dev Accuracy: 0.9329, Dev F1 Score: 0.9279
Eval:::Epoch [480/500], Loss: 0.0001, Dev Accuracy: 0.9359, Dev F1 Score: 0.9299
Eval:::Epoch [490/500], Loss: 0.0005, Dev Accuracy: 0.9359, Dev F1 Score: 0.9299
Eval:::Epoch [500/500], Loss: 0.0001, Dev Accuracy: 0.9359, Dev F1 Score: 0.9317
Test:::Loss: 0.5573, Test Accuracy: 0.9504, Test F1 Score: 0.9404
