Eval:::Epoch [1/500], Loss: 0.6926, Dev Accuracy: 0.5248, Dev F1 Score: 0.0000
Eval:::Epoch [2/500], Loss: 0.6928, Dev Accuracy: 0.5248, Dev F1 Score: 0.0000
Eval:::Epoch [3/500], Loss: 0.6927, Dev Accuracy: 0.5248, Dev F1 Score: 0.0000
Eval:::Epoch [4/500], Loss: 0.7493, Dev Accuracy: 0.5248, Dev F1 Score: 0.0000
Eval:::Epoch [5/500], Loss: 0.6943, Dev Accuracy: 0.4752, Dev F1 Score: 0.6443
Eval:::Epoch [6/500], Loss: 0.6999, Dev Accuracy: 0.5248, Dev F1 Score: 0.0000
Eval:::Epoch [7/500], Loss: 0.6983, Dev Accuracy: 0.5248, Dev F1 Score: 0.0000
Eval:::Epoch [8/500], Loss: 0.6985, Dev Accuracy: 0.5248, Dev F1 Score: 0.0000
Eval:::Epoch [9/500], Loss: 0.7209, Dev Accuracy: 0.5248, Dev F1 Score: 0.0000
Eval:::Epoch [10/500], Loss: 0.7399, Dev Accuracy: 0.5248, Dev F1 Score: 0.0000
Eval:::Epoch [11/500], Loss: 0.7266, Dev Accuracy: 0.5248, Dev F1 Score: 0.0000
Eval:::Epoch [12/500], Loss: 0.7037, Dev Accuracy: 0.5248, Dev F1 Score: 0.0000
Eval:::Epoch [13/500], Loss: 0.7232, Dev Accuracy: 0.5248, Dev F1 Score: 0.0000
Eval:::Epoch [14/500], Loss: 0.6922, Dev Accuracy: 0.5248, Dev F1 Score: 0.0000
Eval:::Epoch [15/500], Loss: 0.7070, Dev Accuracy: 0.5248, Dev F1 Score: 0.0000
Eval:::Epoch [16/500], Loss: 0.7015, Dev Accuracy: 0.5248, Dev F1 Score: 0.0000
Eval:::Epoch [17/500], Loss: 0.7220, Dev Accuracy: 0.5248, Dev F1 Score: 0.0000
Eval:::Epoch [18/500], Loss: 0.7024, Dev Accuracy: 0.5248, Dev F1 Score: 0.0000
Eval:::Epoch [19/500], Loss: 0.6957, Dev Accuracy: 0.5248, Dev F1 Score: 0.0000
Eval:::Epoch [20/500], Loss: 0.6926, Dev Accuracy: 0.5248, Dev F1 Score: 0.0000
Eval:::Epoch [21/500], Loss: 0.6953, Dev Accuracy: 0.4752, Dev F1 Score: 0.6443
Eval:::Epoch [22/500], Loss: 0.7147, Dev Accuracy: 0.5248, Dev F1 Score: 0.0000
Eval:::Epoch [23/500], Loss: 0.6922, Dev Accuracy: 0.5248, Dev F1 Score: 0.0000
Eval:::Epoch [24/500], Loss: 0.6922, Dev Accuracy: 0.5248, Dev F1 Score: 0.0000
Eval:::Epoch [25/500], Loss: 0.6933, Dev Accuracy: 0.4752, Dev F1 Score: 0.6443
Eval:::Epoch [26/500], Loss: 0.6979, Dev Accuracy: 0.5248, Dev F1 Score: 0.0000
Eval:::Epoch [27/500], Loss: 0.7094, Dev Accuracy: 0.5248, Dev F1 Score: 0.0000
Eval:::Epoch [28/500], Loss: 0.6963, Dev Accuracy: 0.5248, Dev F1 Score: 0.0000
Eval:::Epoch [29/500], Loss: 0.7127, Dev Accuracy: 0.5248, Dev F1 Score: 0.0000
Eval:::Epoch [30/500], Loss: 0.7108, Dev Accuracy: 0.5248, Dev F1 Score: 0.0000
Eval:::Epoch [31/500], Loss: 0.7056, Dev Accuracy: 0.5248, Dev F1 Score: 0.0000
Eval:::Epoch [32/500], Loss: 0.6934, Dev Accuracy: 0.5248, Dev F1 Score: 0.0000
Eval:::Epoch [33/500], Loss: 0.7227, Dev Accuracy: 0.5248, Dev F1 Score: 0.0000
Eval:::Epoch [34/500], Loss: 0.6924, Dev Accuracy: 0.5248, Dev F1 Score: 0.0000
Eval:::Epoch [35/500], Loss: 0.7052, Dev Accuracy: 0.5248, Dev F1 Score: 0.0000
Eval:::Epoch [36/500], Loss: 0.7100, Dev Accuracy: 0.5248, Dev F1 Score: 0.0000
Eval:::Epoch [37/500], Loss: 0.7003, Dev Accuracy: 0.5248, Dev F1 Score: 0.0000
Eval:::Epoch [38/500], Loss: 0.7026, Dev Accuracy: 0.5248, Dev F1 Score: 0.0000
Eval:::Epoch [39/500], Loss: 0.7303, Dev Accuracy: 0.5248, Dev F1 Score: 0.0000
Eval:::Epoch [40/500], Loss: 0.7068, Dev Accuracy: 0.5248, Dev F1 Score: 0.0000
Eval:::Epoch [41/500], Loss: 0.6940, Dev Accuracy: 0.5248, Dev F1 Score: 0.0000
Eval:::Epoch [42/500], Loss: 0.7070, Dev Accuracy: 0.5248, Dev F1 Score: 0.0000
Eval:::Epoch [43/500], Loss: 0.7063, Dev Accuracy: 0.5248, Dev F1 Score: 0.0000
Eval:::Epoch [44/500], Loss: 0.7178, Dev Accuracy: 0.5248, Dev F1 Score: 0.0000
Eval:::Epoch [45/500], Loss: 0.6926, Dev Accuracy: 0.5248, Dev F1 Score: 0.0000
Eval:::Epoch [46/500], Loss: 0.7098, Dev Accuracy: 0.5248, Dev F1 Score: 0.0000
Eval:::Epoch [47/500], Loss: 0.7016, Dev Accuracy: 0.5248, Dev F1 Score: 0.0000
Eval:::Epoch [48/500], Loss: 0.7119, Dev Accuracy: 0.5248, Dev F1 Score: 0.0000
Eval:::Epoch [49/500], Loss: 0.7102, Dev Accuracy: 0.5248, Dev F1 Score: 0.0000
Eval:::Epoch [50/500], Loss: 0.6954, Dev Accuracy: 0.5248, Dev F1 Score: 0.0000
Eval:::Epoch [51/500], Loss: 0.7009, Dev Accuracy: 0.5248, Dev F1 Score: 0.0000
Eval:::Epoch [52/500], Loss: 0.7130, Dev Accuracy: 0.5248, Dev F1 Score: 0.0000
Eval:::Epoch [53/500], Loss: 0.7001, Dev Accuracy: 0.5248, Dev F1 Score: 0.0000
