Eval:::Epoch [50/500], Loss: 0.7004, Dev Accuracy: 0.5248, Dev F1 Score: 0.0000
Eval:::Epoch [100/500], Loss: 0.6981, Dev Accuracy: 0.5248, Dev F1 Score: 0.0000
Eval:::Epoch [150/500], Loss: 0.7018, Dev Accuracy: 0.5248, Dev F1 Score: 0.0000
Eval:::Epoch [200/500], Loss: 0.6961, Dev Accuracy: 0.5248, Dev F1 Score: 0.0000
Eval:::Epoch [250/500], Loss: 0.6997, Dev Accuracy: 0.5248, Dev F1 Score: 0.0000
Eval:::Epoch [300/500], Loss: 0.7016, Dev Accuracy: 0.5248, Dev F1 Score: 0.0000
Eval:::Epoch [350/500], Loss: 0.6988, Dev Accuracy: 0.5248, Dev F1 Score: 0.0000
Eval:::Epoch [400/500], Loss: 0.7011, Dev Accuracy: 0.5248, Dev F1 Score: 0.0000
Eval:::Epoch [450/500], Loss: 0.6972, Dev Accuracy: 0.5248, Dev F1 Score: 0.0000
Eval:::Epoch [500/500], Loss: 0.6975, Dev Accuracy: 0.5248, Dev F1 Score: 0.0000
Test:::Loss: 0.6975, Test Accuracy: 0.5685, Test F1 Score: 0.0000
